,text,intent
0,I'd love to hear this read out loud,convert_to_audio
1,Could you turn this script into an audio file?,convert_to_audio
2,Please make this sentence audible,convert_to_audio
3,Transform these lines into voice format,convert_to_audio
4,Produce an MP3 from this message,convert_to_audio
5,Is it possible to vocalize this content?,convert_to_audio
6,Say these words out loud,convert_to_audio
7,Turn the following into an audio clip,convert_to_audio
8,I’d appreciate a voice version of this,convert_to_audio
9,Generate a sound file of this,convert_to_audio
10,Convert the note below into speech,convert_to_audio
11,"Speak this for me, please",convert_to_audio
12,Give me a narrated version of this content,convert_to_audio
13,Please render this paragraph into voice,convert_to_audio
14,Make a recording of this content,convert_to_audio
15,How does this sound when spoken?,convert_to_audio
16,Can you output this as an MP3?,convert_to_audio
17,Speak this document out loud,convert_to_audio
18,Create a podcast version of this text,convert_to_audio
19,I'd like to listen to this in spoken form,convert_to_audio
20,Convert my notes into a voice memo,convert_to_audio
21,Can this text be transformed into audio?,convert_to_audio
22,Give me a voice-over version of this note,convert_to_audio
23,I need to hear this out loud,convert_to_audio
24,Audioify this content,convert_to_audio
25,Please give me a voice representation of this,convert_to_audio
26,Create a verbal output for this,convert_to_audio
27,Play the spoken version of these lines,convert_to_audio
28,I'd like a read-aloud of this,convert_to_audio
29,Vocalize these sentences for me,convert_to_audio
30,Turn this paragraph into speech format,convert_to_audio
31,Make a podcast reading of this note,convert_to_audio
32,Give this note a voice,convert_to_audio
33,Turn the content into an audible clip,convert_to_audio
34,Read this script in a podcast style,convert_to_audio
35,I'd like an audio narration of this paragraph,convert_to_audio
36,Please convert this article to sound,convert_to_audio
37,Convert the following sentence into audio output,convert_to_audio
38,Let me hear what this text sounds like,convert_to_audio
39,Read this in your voice,convert_to_audio
40,Speak out the paragraph below,convert_to_audio
41,Please convert my document into a voice file,convert_to_audio
42,I want to listen to these sentences,convert_to_audio
43,Please provide an audio narration,convert_to_audio
44,Turn this into speech audio format,convert_to_audio
45,Read out my writing in voice,convert_to_audio
46,Audio playback required for this content,convert_to_audio
47,Give an oral version of this file,convert_to_audio
48,Speak this section like a narrator would,convert_to_audio
49,Let me hear how this reads,convert_to_audio
50,I want an audible playback of these notes,convert_to_audio
51,Can you sound this paragraph?,convert_to_audio
52,Convert and vocalize this script,convert_to_audio
53,Voice message required for the following,convert_to_audio
54,Turn these lines into a speech clip,convert_to_audio
55,Could you say these notes aloud?,convert_to_audio
56,I'd like to get an audio transformation of this,convert_to_audio
57,Play this paragraph using voice,convert_to_audio
58,Can you return this note as audio?,convert_to_audio
59,Voice representation needed for this script,convert_to_audio
60,Generate an audio file from these points,convert_to_audio
61,I’d like this content spoken,convert_to_audio
62,Produce a sound version of this paragraph,convert_to_audio
63,Let me hear this content in MP3 form,convert_to_audio
64,Turn this sentence into voice-based output,convert_to_audio
65,Can you read these lines for me?,convert_to_audio
66,Please voice out the following message,convert_to_audio
67,Speak this out as if it's a podcast,convert_to_audio
